host,login_prompt_found,login_prompt,error
13.38.65.194,True,Login: Password:,
93.67.147.83,True,ETI/Xip login:,
78.37.172.102,True,Login:,
5.185.79.113,True,Login: Password:,
106.41.203.254,True,Username:,
177.130.207.244,True,PX3321-T1 login:,
39.91.21.112,True,Username:,
182.183.130.211,True,username:password:,
42.84.63.19,True,ralink login:,
221.207.232.198,True,Username:,
178.205.78.218,True,Username:,
2.135.243.237,True,Username:,
179.42.153.160,True,Username:,
110.49.92.146,True,Username:,
212.164.63.126,True,ipc login:,
200.225.227.80,True,Username:,
216.167.240.250,True,Username:,
189.124.252.57,True,PX3321-T1 login:,
183.242.87.218,True,login:,
122.232.88.97,True,Login: User name is incorrect,
122.239.254.83,True,Ruijie login:,
179.184.193.47,True,(none) login:,
187.75.87.76,True,(none) login:,
179.187.216.80,True,(none) login:,
104.167.116.180,True,Login: Password:,
62.193.73.65,True,Username:,
51.81.182.105,True,login:,
14.42.39.176,True,AP340TW login:,
171.6.99.136,True,Login:,
39.46.238.180,True,username:password:,
84.36.14.66,True,Username:,
60.178.244.199,True,Login:,
72.79.176.15,True,Login:,
220.178.165.3,True,Username:,
185.190.41.171,True,DD-WRT login:,
223.204.93.199,True,Login:,
210.79.181.109,True,Login: Password:,
71.167.28.215,True,Login:,
60.37.171.18,True,VOIPP login:,
36.3.135.113,True,Password:,
41.189.87.160,True,login: login:,
111.202.22.150,True,login:,
75.166.87.184,True,BusyBox on (none) login:,
1.198.50.226,True,Login:,
180.211.135.25,True,Username:,
112.4.239.122,True,Username:,
61.80.166.6,True,TGTDVR login:,
213.33.141.17,True,Username:,
108.34.48.12,True,Login:,
190.250.247.122,True,Login:,
190.99.182.199,True,Login:,
201.116.204.145,True,User:,
182.23.43.33,True,Username:,
122.224.124.210,True,Username:,
115.186.138.195,True,DD-WRT login:,
222.85.161.211,True,Username:,
177.89.162.238,True,PX3321-T1 login:,
50.200.203.254,True,User:,
222.223.115.177,True,Username:,
190.144.69.21,True,Username:,
177.158.141.184,True,(none) login:,
79.172.245.178,True,Login:,
39.55.157.34,True,username:password:,
80.79.155.174,True,Password:,
179.165.46.170,True,(none) login:,
200.150.180.202,True,(none) login:,
179.182.216.200,True,(none) login:,
201.1.102.223,True,(none) login:,
125.194.165.167,True,Username:,
200.170.134.66,True,login:,
183.247.182.101,True,login:,
59.124.28.90,True,User:,
61.146.132.114,True,Login:,
190.112.191.42,True,login:,
166.250.239.109,True,Username:,
189.125.154.202,True,login: login:,
118.159.191.77,True,login:,
86.108.11.224,True,Login: Password:,
